Date,Days_After_Sowing,NDVI_Interpolated,NDVI_Lower_CI,NDVI_Upper_CI,FVC_Interpolated,FVC_Lower_CI,FVC_Upper_CI,Ground_Cover_Percentage,Ground_Cover_Lower_CI,Ground_Cover_Upper_CI,Growth_Stage,Sowing_Date,Harvest_Date,temperature_2m,temperature_min,temperature_max,precipitation,humidity,pressure,wind_speed,cloud_cover,gdd_daily,gdd_cumulative
2024-05-12,222,0.7463737284427414,0.7115737284427415,0.7811737284427414,0.8519624692039163,0.8022481834896307,0.901676754918202,85.19624692039163,80.22481834896307,90.1676754918202,Grain Filling,2023-10-03,2024-07-30,15.7,9.1,21.6,0.0,64,1017.9,8.1,14,15.350000000000001,1591.6500000000003
2024-05-13,223,0.7465344810056845,0.7117344810056845,0.7813344810056846,0.8521921157224065,0.8024778300081207,0.9019064014366923,85.21921157224065,80.24778300081206,90.19064014366923,Grain Filling,2023-10-03,2024-07-30,16.4,10.5,22.4,0.0,64,1014.0,8.3,9,16.45,1608.1000000000004
2024-05-14,224,0.7464164749075611,0.7116164749075611,0.7812164749075612,0.8520235355822302,0.8023092498679444,0.901737821296516,85.20235355822302,80.23092498679443,90.1737821296516,Grain Filling,2023-10-03,2024-07-30,16.9,10.5,22.9,0.0,61,1008.6,12.5,5,16.7,1624.8000000000004
2024-05-15,225,0.7460192948017059,0.711219294801706,0.7808192948017059,0.8514561354310085,0.8017418497167228,0.9011704211452941,85.14561354310085,80.17418497167228,90.11704211452941,Grain Filling,2023-10-03,2024-07-30,16.9,11.4,22.9,0.2,59,1005.6,8.7,81,17.15,1641.9500000000005
2024-05-16,226,0.7454069745537462,0.7106069745537462,0.7802069745537461,0.8505813922196374,0.8008671065053518,0.9002956779339231,85.05813922196374,80.08671065053518,90.0295677933923,Grain Filling,2023-10-03,2024-07-30,15.4,11.9,21.6,8.1,76,1005.3,8.6,88,16.75,1658.7000000000005
2024-05-17,227,0.7448449926397211,0.7100449926397212,0.7796449926397211,0.8497785609138874,0.8000642751996018,0.899492846628173,84.97785609138873,80.00642751996018,89.94928466281729,Grain Filling,2023-10-03,2024-07-30,11.7,10.0,12.8,11.2,85,1005.3,16.6,100,11.4,1670.1000000000006
2024-05-18,228,0.7447902315668264,0.7099902315668265,0.7795902315668264,0.849700330809752,0.7999860450954664,0.8994146165240378,84.9700330809752,79.99860450954664,89.94146165240377,Grain Filling,2023-10-03,2024-07-30,13.1,10.1,17.2,9.1,79,1010.7,16.1,85,13.649999999999999,1683.7500000000007
2024-05-19,229,0.745128302035077,0.710328302035077,0.7799283020350769,0.8501832886215386,0.8004690029072529,0.8998975743358242,85.01832886215385,80.04690029072529,89.98975743358241,Grain Filling,2023-10-03,2024-07-30,14.1,9.4,18.3,1.0,73,1011.5,11.3,34,13.850000000000001,1697.6000000000006
2024-05-20,230,0.7443004020399479,0.7095004020399478,0.7791004020399479,0.8490005743427826,0.7992862886284968,0.8987148600570685,84.90005743427827,79.92862886284968,89.87148600570684,Grain Filling,2023-10-03,2024-07-30,15.4,7.8,21.6,0.1,71,1010.6,5.9,51,14.700000000000001,1712.3000000000006
2024-05-21,231,0.7409101806074603,0.7061101806074603,0.7757101806074602,0.8441574008678004,0.7944431151535147,0.893871686582086,84.41574008678005,79.44431151535147,89.38716865820861,Grain Filling,2023-10-03,2024-07-30,14.6,12.4,17.8,7.2,84,1006.6,11.3,100,15.100000000000001,1727.4000000000005
